price;bedrooms;is_studio;bedrooms_log;accommodates;beds;room_type;neighbourhood_cleansed;review_scores_rating;number_of_reviews
41.0;1;0;0.6931471805599453;4;1,0;Private room;Redbridge;4,81;16
85.0;1;0;0.6931471805599453;3;2,0;Private room;Merton;4,79;75
76.0;1;0;0.6931471805599453;2;1,0;Private room;Hackney;4,95;112
136.0;2;0;1.0986122886681098;4;2,0;Entire home/apt;Wandsworth;;0
153.0;2;0;1.0986122886681098;4;2,0;Entire home/apt;Wandsworth;4,55;11
290.0;4;0;1.6094379124341003;8;4,0;Entire home/apt;Hackney;4,88;84
70.0;1;0;0.6931471805599453;2;1,0;Private room;Tower Hamlets;4,9;266
77.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Hackney;4,86;67
167.0;1;0;0.6931471805599453;2;2,0;Entire home/apt;Hackney;4,78;41
43.0;1;0;0.6931471805599453;1;1,0;Private room;Wandsworth;4,96;57
67.0;1;0;0.6931471805599453;1;1,0;Entire home/apt;Hammersmith and Fulham;4,47;418
238.0;3;0;1.3862943611198906;6;3,0;Entire home/apt;Hackney;4,85;102
100.0;1;0;0.6931471805599453;2;1,0;Private room;Waltham Forest;;0
499.0;1;0;0.6931471805599453;2;1,0;Private room;Southwark;5,0;1
195.0;1;0;0.6931471805599453;3;1,0;Private room;Camden;4,77;400
175.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Camden;4,88;73
67.0;1;0;0.6931471805599453;2;2,0;Private room;Merton;4,7;28
55.0;1;0;0.6931471805599453;4;2,0;Private room;Merton;4,79;14
55.0;1;0;0.6931471805599453;1;1,0;Private room;Merton;4,43;14
52.0;1;0;0.6931471805599453;2;1,0;Private room;Merton;4,94;16
105.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Haringey;4,94;16
127.0;2;0;1.0986122886681098;5;2,0;Entire home/apt;Greenwich;4,78;281
175.0;2;0;1.0986122886681098;3;2,0;Entire home/apt;Hackney;4,77;57
182.0;2;0;1.0986122886681098;4;4,0;Entire home/apt;Wandsworth;4,28;38
28.0;1;0;0.6931471805599453;1;1,0;Private room;Lambeth;4,5;14
68.0;1;0;0.6931471805599453;2;1,0;Private room;Lambeth;4,91;239
69.0;1;0;0.6931471805599453;1;1,0;Private room;Wandsworth;4,84;540
281.0;2;0;1.0986122886681098;3;3,0;Entire home/apt;Wandsworth;4,8;49
238.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Tower Hamlets;4,89;9
55.0;1;0;0.6931471805599453;2;1,0;Private room;Hackney;4,67;12
135.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Lambeth;4,54;125
600.0;3;0;1.3862943611198906;6;3,0;Entire home/apt;Islington;4,9;10
56.0;1;0;0.6931471805599453;2;1,0;Private room;Waltham Forest;4,97;139
91.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Waltham Forest;5,0;3
171.0;2;0;1.0986122886681098;6;3,0;Entire home/apt;Brent;4,61;101
189.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Westminster;4,74;259
2000.0;1;0;0.6931471805599453;2;1,0;Private room;Lambeth;5,0;12
37.0;1;0;0.6931471805599453;2;1,0;Private room;Croydon;4,95;41
61.0;1;0;0.6931471805599453;3;2,0;Private room;Tower Hamlets;4,75;8
137.0;3;0;1.3862943611198906;3;2,0;Entire home/apt;Islington;4,83;115
63.0;1;0;0.6931471805599453;4;4,0;Private room;Merton;4,48;139
53.0;1;0;0.6931471805599453;1;1,0;Private room;Kingston upon Thames;4,74;132
129.0;1;0;0.6931471805599453;2;2,0;Entire home/apt;Southwark;4,93;82
172.0;1;0;0.6931471805599453;4;2,0;Entire home/apt;Westminster;4,74;254
162.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Lambeth;4,75;284
82.0;1;0;0.6931471805599453;3;1,0;Entire home/apt;Hounslow;4,75;8
140.0;1;0;0.6931471805599453;1;1,0;Entire home/apt;Southwark;4,58;59
129.0;2;0;1.0986122886681098;4;2,0;Entire home/apt;Camden;4,51;153
66.0;1;0;0.6931471805599453;1;1,0;Private room;Hammersmith and Fulham;4,94;67
130.0;2;0;1.0986122886681098;6;3,0;Entire home/apt;Wandsworth;4,33;93
49.0;1;0;0.6931471805599453;2;0,0;Private room;Tower Hamlets;4,56;161
135.0;1;0;0.6931471805599453;2;2,0;Entire home/apt;Kensington and Chelsea;4,8;168
69.0;1;0;0.6931471805599453;1;1,0;Private room;Merton;4,62;42
60.0;1;0;0.6931471805599453;1;;Private room;Newham;;0
200.0;2;0;1.0986122886681098;4;1,0;Entire home/apt;Tower Hamlets;4,76;38
150.0;1;0;0.6931471805599453;4;1,0;Entire home/apt;Islington;4,9;153
189.0;2;0;1.0986122886681098;7;5,0;Entire home/apt;Newham;4,87;89
55.0;1;0;0.6931471805599453;1;1,0;Private room;Merton;4,87;32
38.0;1;0;0.6931471805599453;1;1,0;Private room;Enfield;4,82;239
145.0;2;0;1.0986122886681098;5;2,0;Entire home/apt;Lambeth;4,39;41
220.0;1;0;0.6931471805599453;5;;Private room;Westminster;;0
38.0;1;0;0.6931471805599453;1;1,0;Private room;Lambeth;4,73;134
176.0;3;0;1.3862943611198906;7;4,0;Entire home/apt;Redbridge;4,71;194
55.0;1;0;0.6931471805599453;2;1,0;Private room;Hackney;4,96;27
119.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Camden;4,91;55
78.0;1;0;0.6931471805599453;2;1,0;Private room;Brent;4,71;7
100.0;1;0;0.6931471805599453;2;1,0;Private room;Camden;4,96;57
42.0;1;0;0.6931471805599453;2;1,0;Private room;Brent;4,81;90
37.0;1;0;0.6931471805599453;2;1,0;Private room;Lewisham;4,76;187
41.0;1;0;0.6931471805599453;1;1,0;Private room;Haringey;4,95;314
216.0;2;0;1.0986122886681098;4;3,0;Entire home/apt;Tower Hamlets;4,91;99
357.0;3;0;1.3862943611198906;6;3,0;Entire home/apt;Islington;5,0;51
39.0;1;0;0.6931471805599453;3;2,0;Private room;Ealing;4,86;259
67.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Newham;4,31;13
56.0;1;0;0.6931471805599453;2;1,0;Private room;Barnet;4,96;164
253.0;2;0;1.0986122886681098;4;2,0;Entire home/apt;Kensington and Chelsea;4,42;67
55.0;1;0;0.6931471805599453;2;1,0;Private room;Camden;4,76;38
65.0;1;0;0.6931471805599453;1;1,0;Private room;Camden;4,97;137
544.0;5;0;1.791759469228055;8;5,0;Entire home/apt;Islington;4,95;39
59.0;1;0;0.6931471805599453;2;2,0;Private room;Ealing;4,92;437
69.0;1;0;0.6931471805599453;2;2,0;Private room;Ealing;4,72;69
46.0;1;0;0.6931471805599453;2;1,0;Private room;Hammersmith and Fulham;4,62;302
901.0;4;0;1.6094379124341003;8;5,0;Entire home/apt;Westminster;5,0;1
276.0;3;0;1.3862943611198906;6;3,0;Entire home/apt;Lambeth;4,81;120
998.0;2;0;1.0986122886681098;4;2,0;Entire home/apt;Westminster;4,91;152
65.0;1;0;0.6931471805599453;2;1,0;Private room;Lambeth;4,78;37
31.0;1;0;0.6931471805599453;1;1,0;Private room;Brent;4,44;110
152.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Southwark;5,0;11
157.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Camden;4,76;171
27.0;1;0;0.6931471805599453;1;1,0;Private room;Barnet;4,67;98
